epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,580.669,1.47099,0.8513,0.96438,0.80526,0.65327,0.77589,0.33029,2.0289,1.06002,1.01385,0.00076482,0.00076482,0.00076482
43,594.075,1.5327,0.92614,0.95532,0.68649,0.875,0.75807,0.33041,1.74252,0.93591,0.98337,0.000742815,0.000742815,0.000742815
44,606.731,1.54012,0.91791,0.98988,0.84339,0.72905,0.80165,0.33787,1.76053,0.94452,0.98019,0.000720811,0.000720811,0.000720811
45,619.818,1.51414,0.89831,0.95661,0.76929,0.775,0.83188,0.35356,1.74953,0.87061,0.98857,0.000698806,0.000698806,0.000698806
46,633.008,1.41612,0.80728,0.93127,0.70862,0.70565,0.79745,0.33366,1.76445,0.90778,0.99394,0.000676802,0.000676802,0.000676802
47,645.715,1.4492,0.8094,0.93309,0.83831,0.71833,0.75497,0.35463,1.7917,0.93549,0.99745,0.000654798,0.000654798,0.000654798
48,659.745,1.41606,0.83781,0.94605,0.93615,0.61618,0.84807,0.45759,1.59316,0.91611,0.97335,0.000632793,0.000632793,0.000632793
49,672.447,1.38527,0.80632,0.94682,0.80482,0.75972,0.75333,0.36811,1.7202,0.91606,0.97503,0.000610789,0.000610789,0.000610789
50,685.92,1.40322,0.79733,0.91194,0.67086,0.83205,0.83828,0.38102,1.67194,0.82513,0.96619,0.000588784,0.000588784,0.000588784
51,698.608,1.37786,0.77199,0.92641,0.6525,0.78455,0.7386,0.39225,1.59303,0.8429,0.94641,0.00056678,0.00056678,0.00056678
52,711.701,1.38588,0.79547,0.93528,0.81712,0.73333,0.84705,0.43044,1.65645,0.83522,0.95662,0.000544776,0.000544776,0.000544776
53,724.648,1.35702,0.77435,0.92321,0.86511,0.86826,0.90727,0.38329,1.78239,0.79122,0.97453,0.000522771,0.000522771,0.000522771
54,737.421,1.39345,0.77793,0.93429,0.74101,0.79703,0.8106,0.37893,1.73296,0.91604,0.96619,0.000500767,0.000500767,0.000500767
55,750.601,1.33971,0.76656,0.91669,0.695,0.875,0.79645,0.37198,1.71597,0.96368,0.96345,0.000478762,0.000478762,0.000478762
56,764.059,1.34453,0.77424,0.91772,0.67456,0.63235,0.60982,0.29374,1.7033,0.90732,0.98071,0.000456758,0.000456758,0.000456758
57,777.59,1.34239,0.72771,0.89148,0.67745,0.75314,0.74897,0.32061,1.73336,1.00507,0.97917,0.000434754,0.000434754,0.000434754
58,790.046,1.27203,0.71312,0.91123,0.81249,0.75417,0.81112,0.32917,1.80112,0.91868,0.97966,0.000412749,0.000412749,0.000412749
59,803.278,1.3625,0.75701,0.9067,0.72225,0.85256,0.84151,0.41796,1.70955,0.87184,0.98733,0.000390745,0.000390745,0.000390745
60,815.946,1.31121,0.7222,0.91946,0.84804,0.76543,0.83504,0.40964,1.67102,0.93068,0.95873,0.00036874,0.00036874,0.00036874
61,828.866,1.32999,0.72544,0.9096,0.7884,0.79583,0.84057,0.37618,1.67762,0.88085,0.95836,0.000346736,0.000346736,0.000346736
62,841.958,1.24318,0.70109,0.90659,0.74527,0.74835,0.7908,0.41543,1.64488,0.98343,0.95898,0.000324732,0.000324732,0.000324732
63,854.577,1.29928,0.73624,0.9237,0.77316,0.7635,0.75388,0.37913,1.60068,0.8971,0.96981,0.000302727,0.000302727,0.000302727
64,868.161,1.27634,0.69887,0.90615,0.65137,0.73425,0.70182,0.33844,1.66567,0.93308,0.96653,0.000280723,0.000280723,0.000280723
65,880.749,1.24891,0.67082,0.88011,0.69287,0.63682,0.67859,0.34609,1.63758,0.89273,0.973,0.000258718,0.000258718,0.000258718
66,930.929,1.26158,0.67214,0.89884,0.70135,0.7797,0.67428,0.31052,1.66985,0.87635,0.99817,0.000236714,0.000236714,0.000236714
67,944.42,1.2179,0.6432,0.89223,0.74005,0.66806,0.70485,0.35373,1.63978,0.87785,0.96111,0.00021471,0.00021471,0.00021471
68,958.635,1.19047,0.63678,0.90745,0.7761,0.68369,0.73172,0.35034,1.59925,0.80158,0.9664,0.000192705,0.000192705,0.000192705
69,972.261,1.25252,0.65873,0.90134,0.70939,0.70119,0.70233,0.3315,1.67383,0.84798,0.98141,0.000170701,0.000170701,0.000170701
70,986.309,1.21056,0.63348,0.88652,0.8018,0.75417,0.77818,0.36474,1.56017,0.84526,0.95815,0.000148696,0.000148696,0.000148696
71,999.982,1.18754,0.64075,0.88179,0.77634,0.77813,0.75754,0.32238,1.63561,0.87374,0.96957,0.000126692,0.000126692,0.000126692
72,1014.76,1.18861,0.62131,0.88649,0.73302,0.64349,0.61616,0.30379,1.67477,0.89253,0.98521,0.000104688,0.000104688,0.000104688
73,1028.49,1.14773,0.59712,0.88017,0.83144,0.74401,0.79988,0.3887,1.62063,0.87092,0.96974,8.26832e-05,8.26832e-05,8.26832e-05
74,1042.35,1.1849,0.63724,0.88508,0.78577,0.78036,0.74945,0.30579,1.7105,0.88186,0.98026,6.06788e-05,6.06788e-05,6.06788e-05
75,1056.3,1.16127,0.63113,0.88578,0.80972,0.80314,0.7801,0.33517,1.65249,0.89538,0.97075,3.86744e-05,3.86744e-05,3.86744e-05
